其它频道,#genre#
江苏综艺,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/jszongyi/600/index.m3u8?msisdn=20251124140036fd4592ab88e74345a91726f6bee950b1&mdspid=&spid=699067&netType=0&sid=5500260513&pid=2028597139&timestamp=20251124140036&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626065193&ParentNodeID=-99&assertID=5500260513&client_ip=106.13.250.88&SecurityKey=20251124140036&promotionId=&mvid=5100186420&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f3c552ba09979f75f4938b2f42447ece&ddCalcu=efc3eec2756450422b4af029b987399f47f5
公共新闻,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/jsgonggong/600/index.m3u8?msisdn=20251124140037322c6f5db1284e31b0627cc0335ea16b&mdspid=&spid=699067&netType=0&sid=5500260520&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626064693&ParentNodeID=-99&assertID=5500260520&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5100186429&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=89efca23f0389e9f16860897bfc91608&ddCalcu=8809e6e21f69c0caf2b37f908308698e691f
盐城新闻综合,http://gslbmgsplive.miguvideo.com/migu/kailu/ycxwzh/51/20250604/index.m3u8?msisdn=202511241400371df539fd107645f38b0e388b9540f7c8&mdspid=&spid=699067&netType=0&sid=5500469360&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=639731825&ParentNodeID=-99&assertID=5500469360&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5102012617&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4309d390f9621db7b58d1f00fed873ac&ddCalcu=c4a3e3027998d0d3e9f00f09f612d18d5bb7
泰州新闻综合,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/tzxinwenzonghe/600/index.m3u8?msisdn=20251124140037b15b8a93bc2a49608fc57af9c69222d3&mdspid=&spid=699067&netType=0&sid=5500469354&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=639731818&ParentNodeID=-99&assertID=5500469354&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5102012615&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=830f8e39e7c87025e8ac404fe463808a&ddCalcu=a883e0028f93806e43e9fe470c48c7a082e5
连云港新闻综合,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/lygxinwenzonghe/600/index.m3u8?msisdn=202511241400373903b48dc33b44a2a0452f60a81ceb8a&mdspid=&spid=699067&netType=0&sid=5500469369&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=639731715&ParentNodeID=-99&assertID=5500469369&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5102012621&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ea57cbf46619617933a11e9c78b386b5&ddCalcu=5ebae6528793c0bb8f74c696e11916a13739
宿迁新闻综合,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/sqxinwenzonghe/600/index.m3u8?msisdn=20251124140037954f5193bbe64393a3d08ae636e832ef&mdspid=&spid=699067&netType=0&sid=5500469357&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=639731832&ParentNodeID=-99&assertID=5500469357&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5102012616&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b0aa49e731e402585ae90441417e7823&ddCalcu=3b20e8a27a9e40791e4713414e0490e2a558
徐州新闻综合,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/xzxinwenzonghe/600/index.m3u8?msisdn=20251124140037ed9f4d2ca49c4b5f860830c625d8902f&mdspid=&spid=699067&netType=0&sid=5500469368&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=639731747&ParentNodeID=-99&assertID=5500469368&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5102012620&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e09cf074bccbb63711733c4c1cb28471&ddCalcu=1e70e4928c92f0b0c714cb4ccc3b3b761317
江阴新闻综合,http://gslbmgsplive.miguvideo.com/migu/kailu/jyxwzh/51/20250604/index.m3u8?msisdn=202511241400378b4c4babd25445d9aaf2c8b8c07f9fa5&mdspid=&spid=699067&netType=0&sid=5910022177&pid=2028597139&timestamp=20251124140037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=955227979&ParentNodeID=-99&assertID=5910022177&client_ip=106.13.250.88&SecurityKey=20251124140037&promotionId=&mvid=5900006705&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9e1b85e1f0e9ea85e523d2e2e7f481c4&ddCalcu=49cee1128b5480f57ee12fe02ed93e2a58e5
宜兴新闻综合,http://gslbmgsplive.miguvideo.com/migu/kailu/yxxwzh/51/20250604/index.m3u8?msisdn=202511241400385302b2ff5a0c4dd99cbae60459f5ec9d&mdspid=&spid=699067&netType=0&sid=5910022179&pid=2028597139&timestamp=20251124140038&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=955227996&ParentNodeID=-99&assertID=5910022179&client_ip=106.13.250.88&SecurityKey=20251124140038&promotionId=&mvid=5900006707&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=131f0caac7c0ba936bc25524fd7d272a&ddCalcu=a123e7122f5d007cdafa4c275c502bcab963
陕西银龄,http://gslbmgsplive.miguvideo.com/migu/kailu/sxylpd/51/20250804/index.m3u8?msisdn=20251124140038df085e04bd854c44ad5b9eba04fb9b90&mdspid=&spid=600572&netType=0&sid=5910022191&pid=2028597139&timestamp=20251124140038&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=956909362&ParentNodeID=-99&assertID=5910022191&client_ip=106.13.250.88&SecurityKey=20251124140038&promotionId=&mvid=5900006714&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=860f188449b84ce3d5d80467de388e24&ddCalcu=4826ee028f681038e8d474694b0884dc5ed3
