山西电信组播,#genre#
CCTV-2财经,http://171.116.216.113:10010/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.62:6001/rtp/226.0.2.154:9144
CCTV-2财经,http://118.79.12.65:6001/rtp/226.0.2.154:9144
CCTV-2财经,http://171.118.222.23:8082/rtp/226.0.1.158:3087
CCTV-2财经,http://183.185.71.109:8082/rtp/226.0.1.158:3087
CCTV-2财经,http://60.223.72.25:8003/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.70:6000/rtp/226.0.2.154:9144
CCTV-2财经,http://118.79.12.65:6001/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.70:6001/rtp/226.0.1.158:3087
CCTV-2财经,http://60.223.72.25:8001/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.65:6000/rtp/226.0.1.158:3087
CCTV-2财经,http://61.134.253.35:8003/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.62:6001/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.65:6000/rtp/226.0.2.154:9144
CCTV-2财经,http://118.79.12.70:6000/rtp/226.0.1.158:3087
CCTV-2财经,http://118.79.12.62:6000/rtp/226.0.2.154:9144
CCTV-2财经,http://60.223.72.127:8001/rtp/226.0.1.158:3087
CCTV-2财经,http://61.134.253.35:8001/rtp/226.0.1.158:3087
CCTV-2财经,http://116.179.149.157:6000/rtp/226.0.2.154:9144
CCTV-2财经,http://118.79.12.62:6000/rtp/226.0.1.158:3087
CCTV-3综艺,http://118.79.12.62:6000/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.70:6001/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.65:6000/rtp/226.0.1.141:2018
CCTV-3综艺,http://60.223.72.25:8001/rtp/226.0.1.141:2018
CCTV-3综艺,http://171.118.222.23:8082/rtp/226.0.1.141:2018
CCTV-3综艺,http://116.179.149.157:6000/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.70:6001/rtp/226.0.2.208:9576
CCTV-3综艺,http://118.79.12.65:6001/rtp/226.0.1.141:2018
CCTV-3综艺,http://61.134.253.35:8003/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.62:6001/rtp/226.0.1.141:2018
CCTV-3综艺,http://183.185.71.109:8082/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.65:6001/rtp/226.0.2.208:9576
CCTV-3综艺,http://61.134.253.35:8001/rtp/226.0.1.141:2018
CCTV-3综艺,http://116.179.149.157:6000/rtp/226.0.2.208:9576
CCTV-3综艺,http://118.79.12.62:6000/rtp/226.0.2.208:9576
CCTV-3综艺,http://118.79.12.65:6000/rtp/226.0.2.208:9576
CCTV-3综艺,http://60.223.72.127:8001/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.62:6001/rtp/226.0.2.208:9576
CCTV-3综艺,http://171.116.216.113:10010/rtp/226.0.1.141:2018
CCTV-3综艺,http://116.179.149.157:6001/rtp/226.0.2.208:9576
CCTV-3综艺,http://60.223.72.135:8003/rtp/226.0.1.141:2018
CCTV-3综艺,http://118.79.12.70:6000/rtp/226.0.2.208:9576
CCTV-3综艺,http://60.223.72.25:8003/rtp/226.0.1.141:2018
CCTV-4中文国际,http://118.79.12.62:6000/rtp/226.0.1.160:2019
CCTV-4中文国际,http://116.179.149.157:6001/rtp/226.0.2.156:9160
CCTV-4中文国际,http://118.79.12.70:6000/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.70:6001/rtp/226.0.2.156:9160
CCTV-4中文国际,http://116.179.149.157:6000/rtp/226.0.1.160:2019
CCTV-4中文国际,http://60.223.72.25:8001/rtp/226.0.1.160:2019
CCTV-4中文国际,http://61.134.253.35:8001/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.62:6001/rtp/226.0.2.156:9160
CCTV-4中文国际,http://118.79.12.62:6001/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.70:6000/rtp/226.0.2.156:9160
CCTV-4中文国际,http://60.223.72.135:8003/rtp/226.0.1.160:2019
CCTV-4中文国际,http://60.223.72.25:8003/rtp/226.0.1.160:2019
CCTV-4中文国际,http://171.118.222.23:8082/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.65:6001/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.65:6000/rtp/226.0.2.156:9160
CCTV-4中文国际,http://183.185.71.109:8082/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.65:6000/rtp/226.0.1.160:2019
CCTV-4中文国际,http://118.79.12.62:6000/rtp/226.0.2.156:9160
CCTV-4中文国际,http://118.79.12.65:6001/rtp/226.0.2.156:9160
CCTV-4中文国际,http://116.179.149.157:6000/rtp/226.0.2.156:9160
CCTV-4中文国际,http://118.79.12.70:6001/rtp/226.0.1.160:2019
CCTV-4中文国际,http://171.116.216.113:10010/rtp/226.0.1.160:2019
CCTV-4中文国际,http://60.223.72.127:8001/rtp/226.0.1.160:2019
CCTV-5体育,http://118.79.12.65:6000/rtp/226.0.2.209:9584
CCTV-5体育,http://118.79.12.62:6000/rtp/226.0.2.209:9584
CCTV-5体育,http://118.79.12.65:6001/rtp/226.0.1.135:2020
